STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),asset10,Assets (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2016,,60492.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2017,,63024.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2018,,65055.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2019,,66317.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2020,,68985.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2021,,76298.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2022,,79418.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),ES,Spain,2023,,81106.0,,p,provisional,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2000,,32641.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2001,,34204.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2002,,36021.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2003,,37022.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2004,,37526.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2005,,38436.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2006,,39453.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2007,,41160.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2008,,43482.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2009,,45306.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2010,,46809.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2011,,49064.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2012,,50431.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2013,,51600.0,,,,,
dataflow,ESTAT:NAMA_10_NFA_ST(1.0),Capital stocks by industry (NACE Rev.2) and detailed asset type,A,Annual,CRC_MEUR,"Current replacement costs, million euro",A,"Agriculture, forestry and fishing",N11N,Total fixed assets (net),NL,Netherlands,2014,,53014.0,,,,,
