country,sector,year,gva,hours,capital
DE,F,2021,162155.0,4082325,72954.0
DE,F,2022,173942.0,4083651,82266.0
DE,F,2023,187208.0,4053085,90463.0
ES,F,2000,59618.0,3508493,228718.0
ES,F,2001,67550.0,3830793,249691.0
ES,F,2002,75008.0,4040120,273590.0
ES,F,2003,81851.0,4227179,302889.0
ES,F,2004,88836.0,4408815,339006.0
ES,F,2005,100903.0,4730203,382312.0
ES,F,2006,111572.0,5012847,426824.0
ES,F,2007,116462.0,5261408,464277.0
ES,F,2008,118569.0,4675600,474653.0
ES,F,2009,110029.0,3671015,459285.0
ES,F,2010,89685.0,3180016,446783.0
ES,F,2011,75556.0,2718258,422511.0
ES,F,2012,64407.0,2210674,390774.0
ES,F,2013,55533.0,1946664,373631.0
ES,F,2014,55390.0,1922467,374865.0
ES,F,2015,58924.0,2085974,375963.0
ES,F,2016,61744.0,2148823,384826.0
ES,F,2017,64233.0,2227616,393065.0
ES,F,2018,67144.0,2388804,401525.0
ES,F,2019,73774.0,2590657,409598.0
ES,F,2020,63700.0,2258195,419326.0
ES,F,2021,65544.0,2422768,447480.0
ES,F,2022,73065.0,2550779,473558.0
ES,F,2023,78819.0,2635754,482733.0
NL,F,2000,21482.0,993849,17197.0
NL,F,2001,23523.0,1008713,18707.0
NL,F,2002,24770.0,990371,19397.0
NL,F,2003,24837.0,945889,19375.0
NL,F,2004,25118.0,934752,19442.0
NL,F,2005,26482.0,930339,19762.0
NL,F,2006,28306.0,932143,20343.0
NL,F,2007,30813.0,971724,21185.0
NL,F,2008,33104.0,983184,22339.0
NL,F,2009,33394.0,970945,22932.0
NL,F,2010,29984.0,917533,23290.0
NL,F,2011,29686.0,926306,23520.0
NL,F,2012,27183.0,891946,23393.0
NL,F,2013,25598.0,846308,23493.0
NL,F,2014,25828.0,838497,23371.0
NL,F,2015,26128.0,836031,23436.0
NL,F,2016,28180.0,852021,23763.0
NL,F,2017,29966.0,878091,24523.0
NL,F,2018,32629.0,922189,26190.0
NL,F,2019,36247.0,965377,28367.0
NL,F,2020,38666.0,946532,30365.0
NL,F,2021,41332.0,1013891,32988.0
NL,F,2022,43981.0,1078174,36563.0
NL,F,2023,48484.0,1104161,40485.0
PT,F,2000,8602.8,1204264,5659.8
PT,F,2001,9226.6,1170117,6161.8
PT,F,2002,9479.4,1195306,6508.5
PT,F,2003,9157.8,1113732,6736.9
PT,F,2004,9465.0,1076502,7028.8
PT,F,2005,9538.3,1047351,7354.6
PT,F,2006,9682.1,1012723,7709.0
PT,F,2007,10291.2,1024365,8133.3
PT,F,2008,10528.8,983291,8673.8
PT,F,2009,9767.9,893313,8536.6
PT,F,2010,9244.9,859418,8802.8
PT,F,2011,8484.3,776490,9006.4
PT,F,2012,7173.9,615085,8737.1
PT,F,2013,6773.0,557596,8484.1
PT,F,2014,6304.4,531514,8385.7
PT,F,2015,6398.1,538664,8197.3
PT,F,2016,6523.8,551876,8021.4
PT,F,2017,6920.3,572807,8035.3
PT,F,2018,7541.1,603785,8318.0
PT,F,2019,8151.7,638270,8668.2
PT,F,2020,8352.2,635108,8982.7
PT,F,2021,8695.7,678228,9615.3
PT,F,2022,10048.2,719951,10829.3
PT,F,2023,11547.6,769791,11670.2
AT,J,2000,6437.3,171239,12475.6
AT,J,2001,7445.8,181243,13035.3
AT,J,2002,7850.4,189085,13251.1
AT,J,2003,8055.4,184965,13161.7
AT,J,2004,7869.5,182435,13238.4
AT,J,2005,8206.5,178260,13270.2
AT,J,2006,8474.9,183972,13424.6
AT,J,2007,8617.3,170252,13872.0
AT,J,2008,8853.1,174959,14236.4
AT,J,2009,8583.9,171993,14565.6
AT,J,2010,8609.0,175622,14396.5
AT,J,2011,9336.8,186382,14819.0
AT,J,2012,9514.5,184562,15324.6
AT,J,2013,9906.7,189975,15836.1
AT,J,2014,10467.4,203407,16339.8
AT,J,2015,10827.7,200827,17115.7
AT,J,2016,11630.0,205130,18343.9
AT,J,2017,11869.0,211284,18703.8
AT,J,2018,12896.5,220822,19475.6
AT,J,2019,13689.9,233308,20284.3
AT,J,2020,13703.2,215077,21002.2
AT,J,2021,15276.3,234599,21885.8
AT,J,2022,15865.8,238612,23528.1
AT,J,2023,16885.9,250973,25118.7
DE,J,2000,88773.0,1597592,139521.0
DE,J,2001,97122.0,1676648,143484.0
DE,J,2002,99656.0,1676586,140261.0
DE,J,2003,91980.0,1645326,135879.0
DE,J,2004,98624.0,1671884,136298.0
DE,J,2005,97866.0,1695503,135686.0
DE,J,2006,103816.0,1754462,136358.0
DE,J,2007,109219.0,1803246,139005.0
DE,J,2008,108572.0,1821041,141858.0
DE,J,2009,103915.0,1769341,141771.0
DE,J,2010,101827.0,1733142,140700.0
DE,J,2011,111020.0,1756738,144331.0
DE,J,2012,115349.0,1767406,143486.0
DE,J,2013,120807.0,1796111,144082.0
DE,J,2014,125427.0,1826297,144905.0
DE,J,2015,128329.0,1846077,148419.0
DE,J,2016,129800.0,1892418,150944.0
DE,J,2017,137066.0,1946584,154006.0
DE,J,2018,148381.0,1990080,159436.0
DE,J,2019,155567.0,2056912,169217.0
DE,J,2020,155462.0,2029977,172645.0
DE,J,2021,167800.0,2138895,182408.0
DE,J,2022,168244.0,2240287,205310.0
DE,J,2023,185650.0,2296081,217124.0
ES,J,2000,26074.0,626179,67947.0
ES,J,2001,28567.0,649844,73306.0
ES,J,2002,31371.0,674477,78065.0
ES,J,2003,33128.0,673557,82860.0
ES,J,2004,34498.0,695012,88113.0
ES,J,2005,36299.0,719783,93992.0
ES,J,2006,37893.0,756614,99040.0
ES,J,2007,39890.0,746489,103237.0
ES,J,2008,41022.0,768359,104462.0
ES,J,2009,41188.0,771305,103256.0
ES,J,2010,39693.0,755621,105815.0
ES,J,2011,38594.0,777157,108090.0
ES,J,2012,37527.0,741284,109090.0
ES,J,2013,36647.0,725180,106806.0
ES,J,2014,35981.0,726231,105019.0
ES,J,2015,36794.0,771719,108985.0
ES,J,2016,37624.0,802290,112900.0
ES,J,2017,39885.0,857686,114732.0
ES,J,2018,40648.0,891062,115100.0
ES,J,2019,42675.0,911392,115926.0
ES,J,2020,40487.0,904662,119738.0
ES,J,2021,43558.0,976334,126744.0
ES,J,2022,49632.0,1082700,131042.0
ES,J,2023,55845.0,1125759,137192.0
NL,J,2000,18133.0,436973,31386.0
NL,J,2001,20294.0,457687,34801.0
NL,J,2002,21821.0,426034,35747.0
NL,J,2003,23083.0,403756,35361.0
NL,J,2004,23458.0,403093,35310.0
NL,J,2005,24355.0,412900,35702.0
NL,J,2006,25794.0,423261,36665.0
NL,J,2007,28276.0,441293,38271.0
NL,J,2008,28914.0,459495,39808.0
NL,J,2009,27626.0,453811,39639.0
NL,J,2010,27843.0,442495,40182.0
NL,J,2011,27886.0,452577,40279.0
NL,J,2012,27633.0,456361,40731.0
NL,J,2013,27602.0,452547,41236.0
NL,J,2014,27924.0,466418,41705.0
NL,J,2015,28817.0,478960,42040.0
NL,J,2016,30005.0,494903,42713.0
NL,J,2017,31006.0,511453,44270.0
NL,J,2018,32358.0,527354,44933.0
NL,J,2019,34452.0,549012,47631.0
NL,J,2020,36960.0,558150,50691.0
NL,J,2021,39019.0,581550,54299.0
NL,J,2022,44323.0,604947,61050.0
NL,J,2023,47186.0,620673,64742.0
PT,J,2000,4046.3,114541,7983.8
PT,J,2001,4422.4,109481,8519.4
PT,J,2002,4768.9,114437,9013.8
PT,J,2003,4893.6,113270,9265.6
PT,J,2004,5163.0,115883,9673.7
PT,J,2005,5341.4,119516,10194.0
PT,J,2006,5587.1,124280,10684.9
PT,J,2007,5798.7,130024,11388.4
PT,J,2008,5976.7,137746,12254.1
