country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
DE,L,2022,346060.0,633267,8071382.0,0.23593664607080286,-0.06161977740063285,622.02373,0.17974447494654106
DE,L,2023,374433.0,650696,8735333.0,0.24422411367372646,0.035125817633419265,681.10835,0.18190393207863623
DE,TOTAL,2013,2555938.0,59148407,9263691.0,0.07967273570583334,0.013440749444001643,978819.58393,38.29590482750364
DE,TOTAL,2014,2662091.0,59858672,9514952.0,0.08159688443094983,0.02415065465080546,1006965.63303,37.82611612563207
DE,TOTAL,2015,2753317.0,60460401,9740895.0,0.0831826987236013,0.019434740722158894,1066962.73199,38.751902958867426
DE,TOTAL,2016,2852146.0,60978246,9980351.0,0.0849936406280678,0.021770655824522755,1071186.48961,37.55721094256746
DE,TOTAL,2017,2977318.0,61483908,10363449.0,0.08714422628458965,0.025302900789163862,1136267.17652,38.164118731018995
DE,TOTAL,2018,3069316.0,61964170,10883925.0,0.08793629190258666,0.009089134779971975,1167865.90851,38.049712330369374
DE,TOTAL,2019,3161673.0,62141255,11375538.0,0.08910079828472521,0.013242614135112296,1174280.90982,37.141124645717625
DE,TOTAL,2020,3100097.0,59065847,11651450.0,0.08967563871689979,0.006451574433010698,1068090.72028,34.45346130395275
DE,TOTAL,2021,3294085.0,60410139,12540869.0,0.09161004440456143,0.021571139222865465,1206847.40052,36.63680204123451
DE,TOTAL,2022,3591874.0,61297006,14363248.0,0.09458960465397054,0.032524383857418515,1377605.67224,38.353396367467234
DE,TOTAL,2023,3853937.0,61496006,15445693.0,0.09887141269764312,0.04526721577213877,1375272.06531,35.684861099441946
ES,A,2014,26254.0,1468763,57944.0,0.051945153060930546,-0.020832791420191454,2134.42797,8.12991532718824
ES,A,2015,29605.0,1467630,58496.0,0.05842252463568067,0.12469636131695117,2567.80845,8.673563418341496
ES,A,2016,31614.0,1527666,60492.0,0.06006480768552942,0.02811044301987864,2539.1562999999996,8.03174637818688
ES,A,2017,32801.0,1562339,63024.0,0.060564855120585494,0.008325131708971423,2715.52709,8.278793603853542
ES,A,2018,32747.0,1542424,65055.0,0.060352097216531835,-0.003512893800043826,2872.5719700000004,8.772015665557152
ES,A,2019,31591.0,1506694,66317.0,0.058769280865479265,-0.026226368660789423,2958.97702,9.366519008578392
ES,A,2020,31445.0,1461849,68985.0,0.058922053402970874,0.002599530490109192,2948.61552,9.377056829384639
